label,n_channels,rmse_TMP@2m_above_ground,rmse_RH@2m_above_ground,rmse_UGRD@10m_above_ground,rmse_VGRD@10m_above_ground,rmse_GUST@surface,rmse_APCP_1hr_acc_fcst@surface,rmse_APCP_heavy,n_heavy,auc_precip_binary,n_pos,n_total
all_features,42,3.672600746154785,16.709735870361328,2.718478202819824,2.1666905879974365,3.700498342514038,0.7640390396118164,4.507533550262451,83,0.6768629177596107,83,3312
drop_temperature,36,3.509256362915039,15.866340637207031,2.657663345336914,2.1591718196868896,3.64906644821167,0.7632589340209961,4.464505195617676,83,0.6797434395370269,83,3312
drop_humidity,35,3.6205859184265137,16.017131805419922,2.717569351196289,2.2756614685058594,3.627399206161499,0.7511357069015503,4.416233539581299,83,0.6993100926468339,83,3312
drop_wind_u,35,3.794501781463623,16.20862579345703,2.6111369132995605,2.3236446380615234,3.5833964347839355,0.7571243643760681,4.457342624664307,83,0.7188916707399433,83,3312
drop_wind_v,35,3.8182616233825684,17.64328956604004,2.9433212280273438,2.294935703277588,3.842738151550293,0.7715803980827332,4.605397701263428,83,0.6057379098307134,83,3312
drop_wind_gust,41,3.7030115127563477,16.567365646362305,2.672485589981079,2.215590000152588,3.6106231212615967,0.7641465663909912,4.5828399658203125,83,0.5861152880335215,83,3312
drop_precipitation,41,3.66927433013916,16.450376510620117,2.5933048725128174,2.307943820953369,3.651440143585205,0.7619030475616455,4.503067493438721,83,0.6066669900413049,83,3312
drop_pressure,37,3.4875550270080566,16.052614212036133,2.539309501647949,2.2920684814453125,3.6738667488098145,0.7700194716453552,4.552868843078613,83,0.5621644210785539,83,3312
drop_clouds_rad,37,3.698261022567749,15.770452499389648,2.58310604095459,2.2986931800842285,3.5769007205963135,0.7637532949447632,4.476502418518066,83,0.724257202237255,83,3312
drop_other,39,3.414475917816162,15.73182201385498,2.699770212173462,2.231823205947876,3.566805362701416,0.7845549583435059,4.567492961883545,83,0.6345916338006097,83,3312
only_temperature,6,4.159732341766357,19.503154754638672,2.9542603492736816,2.5219178199768066,3.865931510925293,0.7663403749465942,4.539699554443359,83,0.6278604663311033,83,3312
only_humidity,7,4.120205879211426,19.422683715820312,2.976101875305176,2.5500779151916504,3.9695942401885986,0.7687540054321289,4.535584926605225,83,0.7271153365397174,83,3312
only_wind_u,7,6.437538146972656,17.396228790283203,2.5684680938720703,2.540370225906372,3.670569896697998,0.7591806054115295,4.54112434387207,83,0.6446697287757409,83,3312
only_wind_v,7,5.147993087768555,18.147077560424805,2.540743589401245,2.311175584793091,3.602121353149414,0.7773582935333252,4.541975498199463,83,0.6571992522583366,83,3312
only_wind_gust,1,5.975964069366455,19.919231414794922,2.8321681022644043,2.403104066848755,3.8034331798553467,0.7705016732215881,4.540152072906494,83,0.714097019853959,83,3312
only_precipitation,1,10.567069053649902,24.34324836730957,3.308016777038574,2.6171112060546875,4.145314693450928,0.7674964666366577,4.61891508102417,83,0.5254228434331939,83,3312
only_pressure,5,4.3353986740112305,17.495206832885742,2.6216413974761963,2.2770211696624756,3.6374053955078125,0.7626727819442749,4.593583583831787,83,0.6210584051909092,83,3312
only_clouds_rad,5,9.528141021728516,21.944644927978516,3.0269832611083984,2.6642487049102783,4.029475212097168,0.7780947685241699,4.360131740570068,83,0.7246713705239042,83,3312
only_other,3,5.174989700317383,19.64772605895996,2.732382297515869,2.4252007007598877,3.5701942443847656,0.7566878795623779,4.539206027984619,83,0.7477043510057574,83,3312
