lr,batch_size,bin_loss_w,crop_r0,crop_c0,val_loss,duration_s
0.001,8,0.1,30,0,0.597872,2228.0
0.001,8,0.1,30,24,0.619277,2212.1
0.001,8,0.1,30,50,0.624768,2167.3
0.001,8,0.1,49,0,0.607359,2183.6
0.001,8,0.1,49,24,0.619621,2171.4
0.001,8,0.1,49,50,0.612869,2171.7
0.001,8,0.1,70,0,0.617227,2157.5
0.001,8,0.1,70,24,0.624081,2174.9
0.001,8,0.1,70,50,0.614957,2177.4
0.001,8,0.3,30,0,0.620171,2173.6
0.001,8,0.3,30,24,0.623486,2174.4
0.001,8,0.3,30,50,0.627126,2164.5
0.001,8,0.3,49,0,0.625793,2167.2
0.001,8,0.3,49,24,0.631945,2174.3
0.001,8,0.3,49,50,0.629299,2162.0
0.001,8,0.3,70,0,0.617725,2160.2
0.001,8,0.3,70,24,0.628103,2169.4
0.001,8,0.3,70,50,0.632988,2153.8
0.001,8,0.5,30,0,0.639060,2177.8
